YearCountry,Country,Year,Gold,Silver,Bronze,Total,Athletes,Population,GDP
2016United States,United States,2016,46,37,38,121,554,321418820,18036.648
2016Great Britain,Great Britain,2016,27,23,17,67,366,65138232,2858.003088
2016China,China,2016,26,18,26,70,413,1371220000,11007.72059
2016Russia,Russia,2016,19,17,20,56,282,144096812,1310.211868
2016Germany,Germany,2016,17,10,15,42,425,81413145,3363.446822
2016Japan,Japan,2016,12,8,21,41,338,126958472,4123.257609
2016France,France,2016,10,18,14,42,399,66808385,2418.835533
2016South Korea,South Korea,2016,9,3,9,21,205,50617045,1377.873108
2016Italy,Italy,2016,8,12,8,28,314,60802085,1821.496965
2016Australia,Australia,2016,8,11,10,19,421,23781169,1339.140527
2016Netherlands,Netherlands,2016,8,7,4,19,242,16936520,750.2839083
2016Hungary,Hungary,2016,8,3,4,15,160,9844686,121.7152032
2016Brazil,Brazil,2016,7,6,6,19,465,207847528,1774.724819
2016Spain,Spain,2016,7,4,6,17,306,46418269,1199.057336
2016Kenya,Kenya,2016,6,6,1,13,89,46050302,63.39804154
2016Jamaica,Jamaica,2016,6,3,2,11,68,2725941,14.26219032
2016Croatia,Croatia,2016,5,3,2,10,87,4224404,48.73200369
2016Cuba,Cuba,2016,5,2,4,11,120,11389562,91.80898137
2016New Zealand,New Zealand,2016,4,9,5,18,199,4595700,173.7540752
2016Canada,Canada,2016,4,3,15,22,314,35851774,1550.53652
2016Uzbekistan,Uzbekistan,2016,4,2,7,13,70,31299500,66.73273648
2016Kazakhstan,Kazakhstan,2016,3,5,10,18,104,17544126,184.3884321
2016Colombia,Colombia,2016,3,2,3,8,147,48228704,292.0801556
2016Switzerland,Switzerland,2016,3,2,2,7,104,8286976,670.7899288
2016Iran,Iran,2016,3,1,4,8,64,79109272,1594.077146
2016Greece,Greece,2016,3,1,2,6,95,10823732,194.8513192
2016Argentina,Argentina,2016,3,1,0,4,213,43416755,583.1685711
2016Denmark,Denmark,2016,2,6,7,15,122,5676002,295.0913337
2016Sweden,Sweden,2016,2,6,3,11,152,9798871,495.6236973
2016South Africa,South Africa,2016,2,6,2,10,137,54956920,314.5719459
2016Ukraine,Ukraine,2016,2,5,4,11,203,45198200,95.59214624
2016Serbia,Serbia,2016,2,4,2,8,103,7098247,37.16033247
2016Poland,Poland,2016,2,3,6,11,243,37999494,477.0664543
2016North Korea,North Korea,2016,2,3,2,7,35,25155317,16.67797517
2016Belgium,Belgium,2016,2,2,2,6,108,11285721,455.085727
2016Thailand,Thailand,2016,2,2,2,6,54,67959359,395.1680259
2016Slovakia,Slovakia,2016,2,2,0,4,51,5424050,87.26362206
2016Georgia,Georgia,2016,2,1,4,7,39,3679000,13.9653858
2016Azerbaijan,Azerbaijan,2016,1,7,10,18,56,9651349,53.04714034
2016Belarus,Belarus,2016,1,4,4,9,121,9513000,54.60896264
2016Turkey,Turkey,2016,1,3,4,8,103,78665830,717.8797886
2016Armenia,Armenia,2016,1,3,0,4,33,3017712,10.5291825
2016Czech Republic,Czech Republic,2016,1,2,7,10,105,10551219,185.1563595
2016Ethiopia,Ethiopia,2016,1,2,5,8,34,99390750,61.53971169
2016Slovenia,Slovenia,2016,1,2,1,4,61,2063768,42.77476978
2016Indonesia,Indonesia,2016,1,2,0,3,28,257563815,861.9339686
2016Romania,Romania,2016,1,1,2,4,97,19832389,177.9544898
2016Bahrain,Bahrain,2016,1,1,0,2,35,1377237,31.12585107
2016Vietnam,Vietnam,2016,1,1,0,2,23,91703800,193.5993791
2016Chinese Taipei,Chinese Taipei,2016,1,0,2,3,60,23618200,544.8954922
2016Bahamas,Bahamas,2016,1,0,1,2,28,388019,8.853519101
2016Ivory Coast,Ivory Coast,2016,1,0,1,2,12,22701556,31.75924887
2016Kuwait,Kuwait,2016,1,0,1,2,9,3956875,109.4197414
2016Fiji,Fiji,2016,1,0,0,1,51,892145,4.425503074
2016Jordan,Jordan,2016,1,0,0,1,8,7594547,37.51741028
2016Kosovo,Kosovo,2016,1,0,0,1,8,1777557,18.14682682
2016Puerto Rico,Puerto Rico,2016,1,0,0,1,42,3474182,133.3496519
2016Singapore,Singapore,2016,1,0,0,1,25,5535002,292.7393075
2016Tajikistan,Tajikistan,2016,1,0,0,1,7,8481855,7.853450374
2016Malaysia,Malaysia,2016,0,4,1,5,32,30331007,296.2831904
2016Mexico,Mexico,2016,0,3,2,5,125,127017224,1143.793184
2016Venezuela,Venezuela,2016,0,2,1,3,87,31108083,282.8346906
2016Algeria,Algeria,2016,0,2,0,2,64,39666519,166.8386178
2016Ireland,Ireland,2016,0,2,0,2,77,4640703,283.703217
2016Lithuania,Lithuania,2016,0,1,3,4,67,2910199,41.17072896
2016Bulgaria,Bulgaria,2016,0,1,2,3,51,7177991,50.19911755
2016India,India,2016,0,1,1,2,117,1311050527,2095.398349
2016Mongolia,Mongolia,2016,0,1,1,2,43,2959134,11.74133884
2016Burundi,Burundi,2016,0,1,0,1,9,11178921,3.09732474
2016Grenada,Grenada,2016,0,1,0,1,6,106825,0.984074074
2016Niger,Niger,2016,0,1,0,1,6,19899120,7.142951342
2016Philippines,Philippines,2016,0,1,0,1,13,100699395,292.4513926
2016Qatar,Qatar,2016,0,1,0,1,38,2235355,164.6414835
2016Norway,Norway,2016,0,0,4,4,62,5195921,386.5784437
2016Egypt,Egypt,2016,0,0,3,3,120,91508084,330.7785507
2016Tunisia,Tunisia,2016,0,0,3,3,61,11107800,43.01508973
2016Israel,Israel,2016,0,0,2,2,48,8380400,299.4157148
2016Austria,Austria,2016,0,0,1,1,71,8611088,376.9502495
2016Dominican Republic,Dominican Republic,2016,0,0,1,1,29,10528391,68.1026181
2016Estonia,Estonia,2016,0,0,1,1,45,1311998,22.45944327
2016Finland,Finland,2016,0,0,1,1,56,5482013,231.9496507
2016Morocco,Morocco,2016,0,0,1,1,51,34377511,98.94539829
2016Nigeria,Nigeria,2016,0,0,1,1,75,182201962,481.0661529
2016Portugal,Portugal,2016,0,0,1,1,92,10348648,198.923265
2016Trinidad and Tobago,Trinidad and Tobago,2016,0,0,1,1,32,1360088,23.55928749
2016United Arab Emirates,United Arab Emirates,2016,0,0,1,1,13,9156963,370.2962559
